YEAR,Total(Fed Spending),Air,Water,Railroad,Highway,Other
2000,70794446275.438,15972682465.9607,6639293042.7993,9124872709.4822,38768998837.5384,288599219.6574
2001,79701774118.0086,20457183927.4739,6442366115.5501,11394541659.496,41013909071.9115,393773343.5771
2002,89167071103.9687,23851535307.4343,7270261790.1062,12988688292.3421,44918132008.1051,138453705.981
2003,94497190633.5336,32893646301.2015,8323813078.9186,8666235049.1535,44149887857.728,463608346.532
2004,88989094167.3338,23058086937.55,9499772065.6525,13141030016.0128,42956928134.5076,333277013.6109
2005,90521101240.2567,25076305067.3959,8585437780.0267,13069492331.0796,43347194009.7326,442672052.0219
2006,90329850145.7883,23154410556.1555,8600760777.5378,13047745043.1965,45088408137.149,438525631.7495
2007,91606231416.4428,22738208654.01,9669016113.6498,13503952719.0896,45321863834.0787,373190095.6146
2008,93377679937.425,23338404621.5485,9770152272.3643,13966469367.0579,46159488041.6296,143165634.8247
2009,101735433152.556,25104050043.778,10975101064.8624,16066157513.954,49322174190.5354,267950339.4259
2010,109169557312.85,25438315821.8989,11099514313.4047,18854099599.4141,53282654049.2381,494973528.8942
2011,107497136727.118,24690600440.3131,11978173088.6153,16838126896.0727,53273326627.9261,716909674.1907
2012,107731595960.123,24528332116.598,10895208512.0907,16940073421.2859,54137331415,1230650495.1481
2013,101844046589.474,23845413764.1014,10858417542.4118,15899905040.6177,50221569820.1625,1018740422.1804
2014,101578519581.922,22873888663.9676,10668942287.0363,16604149549.6984,50737330827.0677,694208254.1519
2015,97578014208.5205,21833071142.9226,10892013827.3034,16069916338.1617,47961262007.0182,821750893.1145
2016,100063712807.753,21626875446.3739,10867429323.5624,17637976010.6387,49228461390.2906,702970636.8878
2017,99088078641.0411,21428081377.1128,10640501028.5046,18016687650.3925,48356294451.3383,646514133.6929
2018,95951917675.1812,20881975408.2607,10532416726.2266,16012992570.5259,48276589859.3986,247943110.7694
2019,98504854464.6926,22932330971.1297,11167453845.4659,16115214050.5688,47958179175.4149,331676422.1133
2020,145683844246.777,55028952710.3217,11215313998.9939,28974963737.6372,50222464309.6139,242149490.2101